axis,event_id,level,start_time,end_time,duration_sec,peak_residual,mean_residual,area_above_baseline
Axis #1,A0001,ALERT,2022-10-17 12:19:35.905000+00:00,2022-10-17 13:18:36.934000+00:00,3541.029,21.299518558127502,2.144583700909379,5997.064284266391
Axis #1,E0001,ERROR,2022-10-17 12:19:35.905000+00:00,2022-10-17 13:18:36.934000+00:00,3541.029,21.299518558127502,2.144583700909379,5997.064284266391
Axis #1,A0001,ALERT,2022-10-17 12:19:35.905000+00:00,2022-10-17 13:18:36.934000+00:00,3541.029,21.299518558127502,2.144583700909379,5997.064284266391
Axis #1,E0001,ERROR,2022-10-17 12:19:35.905000+00:00,2022-10-17 13:18:36.934000+00:00,3541.029,21.299518558127502,2.144583700909379,5997.064284266391
Axis #2,A0001,ALERT,2022-10-18 06:34:43.695000+00:00,2022-10-18 10:10:51.300000+00:00,12967.605,24.06392801863089,2.0648163744727994,17951.85707513888
Axis #3,A0001,ALERT,2022-10-17 13:52:28.119000+00:00,2022-10-17 13:52:37.509000+00:00,9.39,13.439197002779355,13.3644684628106,120.56037377773896
Axis #3,A0002,ALERT,2022-10-17 14:04:34.379000+00:00,2022-10-17 14:04:43.911000+00:00,9.532,14.158397435011947,13.851919703169322,124.91314854222932
Axis #3,A0003,ALERT,2022-10-17 15:32:54.376000+00:00,2022-10-17 15:33:15.239000+00:00,20.863,14.008292208711776,13.471782445281464,283.1174910092717
Axis #3,A0004,ALERT,2022-10-17 18:21:13.788000+00:00,2022-10-17 18:21:19.539000+00:00,5.751,13.114666835028675,13.107483710430142,78.65677094356337
Axis #3,A0005,ALERT,2022-10-17 18:38:28.285000+00:00,2022-10-17 18:38:37.956000+00:00,9.671,14.156345222735355,14.101491458915156,127.035836571329
Axis #3,A0006,ALERT,2022-10-17 19:33:17.581000+00:00,2022-10-17 19:33:25.355000+00:00,7.774,13.19825226813842,13.16793087203618,105.33333945909052
